name,description,recommendation
行政事务负担,指乡村运营主体被迫承担大量填表、迎检、会议、接待等非生产性行政任务，挤占其市场运营精力,KEEP
《特拉华州公司法》,美国最具影响力的公司法典，确立以董事权力为中心、强调资本效率与自治的任意模式资本制度范本,KEEP
面额股,标明固定票面金额的股份，传统公司法中注册资本等于面额乘以股份数，构成‘先有资本后有股份’的法定资本制基础。,DELETE
枕水镇古镇保护与旅游开发管理委员会,市级政府派出机构，承担古镇保护、旅游开发统筹与执法监管职能，代表地方政府行动主体。,KEEP
发展主义,以经济增长为最高目标、将发展视为线性进步过程的意识形态框架，在资本下乡实践中体现为乡村振兴政策的技术理性取向。,KEEP
市场问题的伦理化转化,1980年代乡土小说将市场经济矛盾转化为仁恕、原罪、道义等伦理议题的叙事策略，回避了政治经济学层面的深度探讨。,KEEP
乡土文化的博物馆化,传统民俗、信仰与地方知识被抽离原生语境，转化为可展示、可消费、可资本化的静态遗产，象征文化活态性的消退。,KEEP
刘文祥,河北大学文学院学者，本文第一作者，聚焦新世纪乡土小说转型与资本下乡的文学表征研究。,DELETE
王成山,河北大学文学院学者，本文第二作者，与刘文祥合作探讨资本下乡语境下的乡土叙事变革。,DELETE
甫跃辉,上海青年作家，代表作《我的莲花盛开的村庄》《收获日》，擅长描写琐碎日常但缺乏历史纵深感。,DELETE
非规范拟合指数,修正后的增量拟合指标，本文NNFI=0.875，虽略低于0.9但仍在可接受范围，结合其他指标判断模型稳健,KEEP
和积法,层次分析法中求解权重向量的一种经典算法，通过对判断矩阵列向量归一化后求行平均得到特征向量,DELETE
土地经济功能,土地作为生产资料为农户提供农产品产出、租金收入、资产增值等经济效用的能力,KEEP
土地生态功能,土地所承载的水源涵养、生物多样性维持、气候调节、景观美学等生态系统服务价值,KEEP
高思涵和鄢伟波（2023）,从网络组织视角发现家庭农场加入合作社可强化社会资本网络资源，提升多元化经营与增收能力,KEEP
增值拟合指数,比较目标模型与独立模型的相对改善程度，IFI=0.956>0.900，说明模型解释力强,KEEP
卡方与自由度比值,简约适配度指标，PCMIN/df=2.601<3.000，表明模型简洁且拟合充分,KEEP
头雁项目,农业农村部与教育部联合实施的乡村振兴带头人培育计划，聚焦家庭农场主、合作社带头人等领头雁群体,KEEP
寻租谋利空间,因制度模糊、监管缺位或权力寻租所形成的套取财政补贴、违规用地、低价流转等非生产性获利机会。,KEEP
双重委托—代理,农户→村集体→工商资本的两层委托代理关系，加剧信息扭曲与道德风险，构成土地流转治理困境的制度根源。,KEEP
嵊州市,浙江省绍兴市下辖县级市，S村所属行政区域，是资本下乡政策落地的具体空间单元。,DELETE
人与自然之间的物质变换,人类生存发展的基本实践过程，其合理支配与控制是实现从必然王国向自由王国跨越的前提。,KEEP
委托-代理关系,企业将部分经营职能委托给合作社执行，并通过契约与监督机制约束代理人行为。,KEEP
2024年捐资助学款79150元,九峰村捐资助学协会2024年度募集总额，反映村庄内生公益动员能力。,KEEP
乡村春晚赞助3000元,九姜源公司对九峰村文化协会承办的乡村春晚提供的现金赞助金额。,KEEP
生姜红糖膏10箱,九姜源公司为九峰村乡村春晚提供的实物赞助，体现产业特色与在地化品牌表达。,KEEP
高收入农户,家庭人均收入处于区域或全国收入分布较高分位（如75%以上）的农村家庭，劳动力非农就业占比高、土地依赖度低。,KEEP
股金,农户以土地经营权入股农业企业或合作社所获得的分红收益，体现土地要素市场化配置新形式。,DELETE
q₀.₂₅（第25分位点）,分位数回归中代表中低收入组农户收入水平的临界点，反映工商资本下乡对收入分布下四分之一群体的影响强度。,KEEP
q₀.₅₀（中位数分位点）,分位数回归中代表中等收入组农户收入水平的临界点，即样本收入分布的中位数，体现工商资本下乡的平均边际效应。,KEEP
q₀.₇₅（第75分位点）,分位数回归中代表中高收入组农户收入水平的临界点，用于检验工商资本下乡对收入上四分之一群体的递减效应。,KEEP
空间格局演变,地理现象在空间分布形态随时间推移发生的结构性变化过程,KEEP
乔治·赫伯特·米德,美国社会心理学家、符号互动论奠基人，提出‘主我—客我’理论与游戏阶段概念，为角色概念的社会学转化提供关键基础。,KEEP
不平等和异质性,彼得·布劳所著社会学经典著作，系统分析社会结构中不平等与群体异质性的生成机制及其对社会互动的影响。,KEEP
职业声望与社会经济地位指数测量,一种通过职业声望排序与客观社会经济指标（如教育、收入）相结合，量化社会分层结构的实证方法。,KEEP
布莱克威尔政治思想百科全书,由戴维·米勒主编的权威政治哲学工具书，涵盖公民身份、正义、自由、平等、身份等核心概念的理论谱系。,KEEP
美国公民权：寻求接纳,朱迪思·N·施克拉所著，以历史叙事方式阐释美国公民权从法律权利到社会承认的拓展逻辑，强调‘接纳’作为公民权实质维度。,KEEP
社会网分析,研究社会行动者之间关系结构及其对信息传播、资源获取、行为约束等影响的理论与方法体系。,KEEP
镶嵌,格兰诺维特提出的核心概念，指经济行动嵌入于具体社会关系网络之中，而非脱离社会背景的纯粹理性计算。,DELETE
结构洞,罗纳德·伯特提出的网络位置概念，指两个非冗余联系人之间的断裂间隙，占据该位置者拥有信息优势与控制优势。,DELETE
污名,戈夫曼界定为个体因具有一种被社会贬低的属性而遭受身份受损、社会排斥与道德降级的社会过程。,DELETE
拟剧论,戈夫曼以戏剧隐喻分析社会互动，主张个体在前台/后台中通过印象管理策略建构并维持社会身份与角色认同。,DELETE
日常接触,戈夫曼对微观社会互动秩序的研究，关注陌生人之间短暂、非制度化但遵循默会规则的面对面交往实践。,KEEP
话语分析,一种将语言视为社会实践的研究路径，关注话语如何建构社会现实、权力关系与主体身份。,KEEP
身份理论,Stryker与Burke发展的社会学理论，聚焦角色身份如何通过社会互动、承诺程度与反馈循环影响行为与自我概念。,KEEP
身份,指个体或群体在社会结构中基于文化、历史、制度与互动所确立的自我界定与他者承认的复合性存在状态。,DELETE
张晓山（2013）,强调农业现代化不能剥夺农民土地，反对将农民从经营主体降格为资本利润的依附者。,KEEP
公与私的困境,下乡资本将土地、用工等视为市场契约下的私人事务，而村民视其为嵌入集体伦理的公共事务，引发产权认知与责任边界的深层分歧。,KEEP
李玉红,实证研究农村污染企业空间分布与扩张趋势的环境经济学学者,DELETE
县级政府,中国行政体系中的关键层级，兼具政策执行与资源分配权，对村庄能否获得发展性投资具有决定性影响。,KEEP
基层自治组织,指依法实行村民自治的村委会等组织，是农村公共事务与政策项目落地的执行主体和协调枢纽,KEEP
张林秀,中国农村发展研究领域知名学者，提出农村公共投资‘目标要素—需求要素’二分分析框架,DELETE
营业执照办理成本,个体工商户或企业申领营业执照所需支付的行政性费用，用以衡量地区营商环境便利度,KEEP
村干部选举开会次数,上级政府在村级组织换届选举期间召集村干部会议的频次，反映基层治理介入强度,KEEP
法定资本制,要求公司在设立时即确定并实缴/认缴最低限额注册资本的公司资本制度模式,KEEP
囚徒困境,博弈论经典模型，揭示个体理性可能导致集体非理性结果，凸显政府在建立信任与协调合作中的关键作用。,KEEP
加布里埃尔·阿尔蒙德,美国政治学家，政治文化研究奠基人，提出公民文化类型学，强调社会化对政治态度的塑造作用,KEEP
塞缪尔·亨廷顿,美国政治学家，文明冲突论提出者，主张文化传统是划分世界政治秩序的根本维度,KEEP
制度性力量,由法律法规、政策体系、组织架构与行政惯例构成的稳定约束与激励机制，具有权威性与路径依赖性。,KEEP
高排放行业,电力、钢铁、建材、化工等温室气体排放强度高的产业门类，是气候信息披露的重点监管对象。,KEEP
劳动力占比,家庭中劳动年龄人口占家庭总人口的比例，是衡量家庭劳动力供给能力的关键结构性变量。,KEEP
村庄地形,以是否为平地为二元分类变量，影响基础设施建设成本、产业布局可行性及人口集聚潜力。,KEEP
村庄面积,村庄行政管辖范围的土地总面积，取自然对数后作为控制变量，反映空间承载力与发展纵深。,KEEP
环保设施,指村庄配备的垃圾清运、污水处理等环境卫生基础设施，体现生态文明建设的基层落实能力。,KEEP
广州市番禺区,广东省广州市下辖区，城乡融合发展前沿地区，龙美村所在地，为观察规则嵌入与市场建构提供典型制度试验场域。,KEEP
广州市番禺区,广东省广州市市辖区，龙美村所属行政区，城乡融合发展的典型区域,KEEP
王敏,中共广东省委党校教育研究部研究人员，本文第二作者，聚焦农村社区治理实证分析,DELETE
贾鹏,本文第三作者，江苏大学管理学院研究者，参与工商资本下乡行为机制与财政矫正路径建模分析,DELETE
数据驱动型并购,以获取用户数据、算法能力或数据生态控制权为核心目标的并购行为，常伴随隐私侵蚀与竞争扭曲风险。,KEEP
垃圾倾倒权,村民在荒地、沟渠等非耕作边际空间倾倒生活垃圾的历史惯习，属社区产权中低制度化但高情境依赖的替代性公共物品安排,KEEP
八次危机: 中国的真实经验,温铁军2013年出版的代表作，以‘成本转嫁论’为分析框架，揭示中国历次经济危机如何通过向农村转嫁成本实现软着陆，强调三农问题的战略缓冲功能。,KEEP
闵继胜,南京林业大学副教授，研究新型农业组织对优质劳动力、土地、资金等要素配置的影响机制。,DELETE
杜志雄,中国社科院农村发展研究所研究员，主张‘新农人’作为农业现代化关键行动者，兼具技术能力与市场意识,DELETE
姜长云,中国著名农业经济学者，中国宏观经济研究院研究员，长期研究农民收入、乡村振兴与农业政策。,DELETE
苑鹏,中国社科院农村发展研究所研究员，提出‘公司+合作社+农户’框架下四种契约治理模式及其福利效应差异,DELETE
程莉,农业产业融合研究学者，系统梳理农村一二三产业融合发展的理论进展、实践形态与政策响应,DELETE
孙玉奎,农村金融学者，验证农村金融发展对农民收入增长存在显著正向影响及区域异质性特征,DELETE
仇童伟,农地产权制度改革研究者，揭示农地确权通过改善要素配置效率提升家庭农业收入的作用机制,DELETE
侯英,农户金融行为研究者，证实声誉机制与借贷可得性共同塑造农户信贷参与决策与行为选择,DELETE
张桂文,人力资本与产业结构耦合研究者，验证人力资本积累对农业转型升级具有先导性与支撑性作用,DELETE
徐旭初,浙江‘三位一体’综合合作实践主要阐释者，主张生产、供销、信用三大功能融合重构农村合作体系,DELETE
阿卜杜拉伊·a,发展经济学家，通过越南等地实证研究揭示土地产权稳定性对农户土地改良投资的因果效应,KEEP
克里斯托弗·纽曼,土地经济学研究者，验证联合地权登记制度通过降低交易成本与增强预期稳定性提升农业生产力,KEEP
资本投机化获利,资本绕过生产与流通环节，通过炒作农产品等商品价格短期套利，扰乱市场秩序并损害生产者与消费者福利。,KEEP
必要价值,等同于劳动力价值，指劳动者通过必要劳动所生产出的、用于自身再生产的那部分价值。,KEEP
余逊达,浙江大学公共管理学院教授，主编《参与式地方治理研究》，系统梳理中国基层参与式治理的制度条件与现实约束。,DELETE
嵌入关系,指外来资本通过文化认同、利益联结、关系网络与公共事务参与等方式深度融入乡土社会结构的过程与机制。,KEEP
高海珍,本文第二作者，西北农林科技大学人文社会发展学院研究人员，参与该田野调查与理论分析。,DELETE
湖南汨罗市s村,李俏、金星（2018）田野调查所在地，用以揭示资本下乡引发环境危机及农民应对困境。,KEEP
王淼,数字资本与政治经济学交叉领域青年学者，聚焦数字资本逻辑批判与社会主义规制路径。,DELETE
黄玮杰,《求索》期刊发表学者，从《资本论》出发分析数字经济中资本特性及其社会效应。,DELETE
大卫·哈维,美国马克思主义地理学家与社会理论家，以空间修复、时空压缩等理论深化资本矛盾分析。,KEEP
布莱恩·阿瑟,美国复杂性科学与技术经济学家，提出‘技术的本质’理论，为理解数字资本技术嵌入性提供方法论支撑。,KEEP
金星,本文第二作者，长期从事农村社会学与环境正义实证研究,DELETE
自然之友环境研究所,中国最早成立的民间环保组织之一，致力于环境教育、政策倡导与环境公益诉讼,KEEP
中国政法大学环境资源法研究与服务中心,依托高校法学资源设立的专业法律支持机构，为环境公益诉讼与公民维权提供法律援助,KEEP
苏州工业园区绿色江南公众环境关注中心,扎根长三角地区的 grassroots 环保组织，专注区域环境信息公开、企业排污监督与社区倡导,KEEP
环境监测,对环境中污染物浓度、生态指标及风险因子进行系统性观测、采样、分析与评估的技术与管理活动,KEEP
正当抗争,O'Brien与Li提出的理论概念，指民众援引国家政策、法律或意识形态话语，以‘合情合理合法’方式争取权益的策略性抗争行为,KEEP
孙明阳,本文作者之一，与陈柏峰合作研究资本下乡背景下农民土地权利保障问题,DELETE
本地居民,长期定居于某社区、拥有户籍或居住权的常住人口，其规范意识与治安评价构成社区治理效能的重要观测维度,KEEP
师徒制管理,将传统技艺传承机制转化为现代企业内部劳动控制工具，通过技术权威实现过程监督与行为规训,KEEP
高原,中国农业大学人文与发展学院副教授，研究小农发展路径、合作社实践与农业内生动力机制。,DELETE
分包经营,将农业生产环节按任务或地块外包给农户或小组的管理模式，通过利益绑定缓解雇工激励不足问题。,KEEP
苏中,江苏省中部地区，包括扬州、泰州、南通等地，处于苏南与苏北过渡带，农业与制造业并重。,DELETE
每车水15块钱,BL村村民向CZ村私人水井购买灌溉用水的市场价格，体现水资源商品化的成本转嫁机制,KEEP
赵刚,中国历史经济学者，研究聚焦于中国传统社会土地产权结构及其长时段演变,DELETE
榕珍菌业,战旗村省级农业产业化重点龙头企业，主营食用菌种植加工销售，体现农业现代化与产业化升级路径。,KEEP
需求优先导向,以农民实际生产生活需求为规划起点和调整依据，避免资本主导下的形式主义或过度商业化开发。,KEEP
务工就业,农户将劳动力转移至下乡企业就业的行为，是资本下乡带动非农收入增长和收入结构转型的主要机制。,KEEP
发展信心,农户对自身及村庄未来发展的乐观预期，受收入增加与环境改善正向影响，隶属度从0.511升至0.677。,KEEP
购买阶段,资本运动第一阶段，资本家以货币购买生产资料和劳动力，实现货币资本向生产资本的转化,KEEP
生产阶段,资本运动第二阶段，劳动力与生产资料结合进行生产，创造出包含剩余价值的新商品，实现生产资本向商品资本的转化,KEEP
售卖阶段,资本运动第三阶段，商品被销售并实现价值，完成剩余价值的现实化，商品资本重新转化为增殖后的货币资本,KEEP
大卫·李嘉图,英国古典政治经济学家，认为资本是‘国家财富中用于生产的部分’，提出‘资本是积累的劳动’，但未突破物化理解。,KEEP
庸俗经济学,19世纪后半叶取代古典政治经济学的资产阶级经济学，回避生产关系批判，将资本简化为中性生产要素，为资本主义制度辩护。,KEEP
西奥多·舒尔茨,美国经济学家，提出‘人力资本’理论，将知识与技能视为可增殖的生产要素，延续了资本作为物或资源的庸俗经济学传统。,KEEP
重商主义,15—17世纪西欧早期资本主义阶段的经济思想体系，将资本等同于货币，视财富为金银积累，关注流通领域而非生产过程。,KEEP
重农学派,18世纪法国古典政治经济学先驱，主张农业是唯一生产性部门，首次系统将资本定义为生产工具，推动研究重心转向生产领域。,KEEP
资本的消极作用,指资本逐利本性可能导致的垄断、剥削加剧、生态破坏、社会分化、金融风险累积等负面效应。,KEEP
李爱喜,本文作者，聚焦农村金融与社会资本交叉领域的青年学者，提出农户信用生成的内生性机制解释框架。,DELETE
陈晶萍,本文第二作者，中国人民大学财政金融学院学者，研究方向为农村金融与信贷行为,DELETE
甄明昊,本文第三作者，参与农户信用与社会资本实证研究,DELETE
信度分析,评估测量工具内部一致性与稳定性的统计过程，常用Cronbach's α系数与CITC值判断题项质量,KEEP
浙江小农户,本文实证研究的样本主体，代表东部发达地区市场化程度较高、社会网络活跃的小规模农业经营主体,KEEP
毛李镇坪村,S县下辖村庄，户均土地资源丰富，形成‘小农户+中农’并存的农业经营格局，是农户主导流转的微观典型案例,KEEP
马某,S县李镇57岁农民，经营90亩水稻田，配备机械化设备并坚持亲力亲为田间管理，代表‘中农’家庭经营实践主体,DELETE
农户主导型模式,以家庭承包经营为基础、突出普通农户在农业生产决策、收益分配和组织治理中主体地位的发展路径。,KEEP
农业政治基础,指农民作为国家政权在农村的阶级基础与社会支柱，其土地权益与政治参与构成执政合法性的关键来源。,KEEP
花镇,Y县下辖乡镇，曾以动员农民发展柑橘产业，后转向资本主导的三产融合实践，体现乡村产业治理逻辑变迁。,DELETE
固定分红,村集体以入股形式参与工商资本项目后获得的保底性收益分配方式，旨在规避经营风险、保障集体收入稳定性。,KEEP
山林资源,归农村集体经济组织所有的未承包山地林地，具有生态与经济双重价值，是工商资本低成本获取公共资源发展新业态的重要依托。,KEEP
全员生产效率,衡量农业全要素投入产出水平的核心指标，反映劳动力、土地、资本等综合使用效率。,KEEP
抛荒率近80%,P村2010年后耕地抛荒比例，反映农户务农意愿衰退与土地利用低效，构成资本低成本流转土地的前提条件。,KEEP
项目包干制,基层政府将自上而下的项目资金、审批、验收等权限整体打包交由公司操作的治理机制，构成权力下放与利益让渡的制度安排。,KEEP
资源俘获,资本通过政商合谋、身份重叠、精英吸纳等方式，将自上而下的财政项目资源、内生土地资源乃至村级组织本身纳入公司化运作体系。,KEEP
权力—利益垄断秩序,资本通过吸纳精英、替代村组织、排斥普通村民所建构的排他性分配结构，其核心是私人资本对公共资源增值收益的独占。,KEEP
家庭向上流动诉求,农民将务工收入用于子女教育、购房建房等代际跃升目标，导致其对村庄公共事务漠视，强化资本治理的社会接受度。,KEEP
历史资本观,将资本置于人类社会发展阶段中理解，承认其在社会主义初级阶段的历史合理性与阶段性使命。,KEEP
五反斗争,1952年开展的反对行贿、偷税漏税、盗骗国家财产、偷工减料、盗窃国家经济情报的政治运动，巩固工人阶级领导权。,KEEP
资本的历史逻辑,指资本在不同社会形态中产生、发展与变革的客观历史进程，须置于社会主义初级阶段具体条件中理解。,KEEP
中小股东保护,通过法律、监管、市场机制及非正式制度保障中小股东知情权、收益权与监督权的制度安排,KEEP
单位社会团体数量,省级行政区每万人拥有的社会组织数量，反映社会关系网络的组织化程度,KEEP
tun比率,上市公司其他应收款占期初总资产比例，用以量化非经营性资金占用程度即掏空行为,KEEP
省级政府管理效能排行榜,《管理观察》杂志发布的省级政府效率评估报告，用于衡量政府工作效率,KEEP
关联销售,上市公司向关联方销售商品或服务的交易，属于支持行为的一种表现形式,KEEP
关联购买,上市公司向关联方采购商品或服务的交易，常与掏空行为正相关,KEEP
市净率,公司市值与账面净资产之比，衡量市场估值与成长预期,DELETE
自耕小农,以家庭为单位、自主经营承包地并承担全部生产决策与风险的传统农业主体,KEEP
企业理论与中国企业改革,张维迎1999年出版的理论著作，运用现代企业理论分析中国国企改革路径与逻辑,KEEP
管理学,徐国华等编著、清华大学出版社2003年出版的管理学教材，系统介绍法约尔等经典管理理论,DELETE
独资或控股投资,城市投资者在农村企业中拥有全部或绝对控股权的投资形态，反映资本主导型下乡模式。,KEEP
irls回归,迭代再加权最小二乘法，通过伪值法估计标准误，不依赖正态性假设，是本研究采用的三种稳健计量方法之一。,KEEP
生计,农户为满足基本生存与发展需求所采取的一系列经济活动与资源组合策略，具有性别化、家庭本位和结构性特征。,DELETE
缺席领导权,指丈夫长期外出务工背景下，留守妇女在家庭农业生产决策、资源调配及劳动组织中实际获得的临时性主导权力。,KEEP
唐惠敏,研究村企合作生成逻辑、政策需求与理想类型的学者，强调制度适配与多元治理结构设计。,DELETE
丁波,探讨资本下乡中村企合作治理逻辑与运行机制的农村经济研究者，关注契约执行与权力平衡问题。,DELETE
林秋香,与陆继霞合作开展村企合作民族志研究的学者，关注边疆民族地区村企互动的文化适配性。,DELETE
稳健性标准误,对异方差不敏感的标准误估计方法，用于提高回归系数显著性检验的可靠性。,KEEP
农户,中国农村以家庭为单位的基本生产经营和社会生活单元，兼具生产、消费与社会保障功能。,DELETE
李恒,研究中国农村家庭社会资本结构与绩效的学者，关注其对收入、健康与信贷行为的影响。,DELETE
熊学萍,聚焦农户金融信用评价与征信制度建设，探索基于社会资本的农村信用识别机制。,DELETE
