identity,fam_type,hh_size,gender,birth_ym,edu,politics,village_duty,hukou,employment,nonfarm_type,nonfarm_income,cult_area,own_area,transfer_in_area,transfer_out_area,reclaim_area,basic_farm_area,paddy_area,plain_area,terrace_area,irrigable_area,dryland_area,n_parcels,land_alloc_year,n_member_land,adj_willing,adj_direction,adj_why_open,adj_unwill_open,out_area,out_year,out_reason,out_to_whom,out_irrigable,out_slope,out_info_ch,out_contract,out_contract_party,out_rent_term_set,out_rent_term,out_rent_type,out_cash_rent,out_rent_schedule,out_rent_pay,out_kind_type,out_kind_qty,in_area,in_year,in_reason,in_reason_r1,in_reason_r2,in_reason_r3,in_reason_r4,in_reason_r5,in_gross_income,in_contiguous,in_irrigable,in_slope,in_info_ch,in_info_ch_r1,in_info_ch_r2,in_info_ch_r3,in_info_ch_r4,in_info_ch_r5,in_info_ch_r6,in_info_ch_r7,in_info_ch_r8,in_contract,in_contract_party,in_contract_party_r1,in_contract_party_r2,in_contract_party_r3,in_contract_party_r4,in_rent_term_set,in_rent_term,in_rent_type,in_cash_rent,in_rent_schedule,in_rent_pay,in_kind_type,in_kind_qty,in_crop_type,crops_all,crops_grain,crops_self,sown_area,soil_type,land_grade,land_grade_r1,land_grade_r2,land_grade_r3,land_grade_r4,till_method,till_method_r1,till_method_r2,till_method_r3,till_method_r4,till_method_r5,till_method_r6,mech_service,mech_service_r1,mech_service_r2,mech_service_r3,mech_service_r4,mech_service_r5,mech_service_r6,mech_service_r7,mech_service_cost,hire_cost,hire_source,hire_pay_type,avg_yield,total_yield,tech_need,tech_need_type,tech_train,tech_train_source,tech_train_source_r1,tech_train_source_r2,tech_train_source_r3,tech_train_source_r4,tech_train_source_r5,disaster_5y,disaster_type,disaster_type_r1,disaster_type_r2,disaster_type_r3,disaster_type_r4,disaster_type_r5,disaster_type_r6,disaster_loss_pct,disaster_affect,disaster_effect,disaster_effect_r1,disaster_effect_r2,disaster_effect_r3,disaster_effect_r4,gov_help,gov_help_type,ins_buy,ins_way,ins_amount_per_mu,ins_subsidy,ins_subsidy_amt,ins_subsidy_sat,ins_claim_sat,ins_claim_un_sat,ins_no_reason,ins_future,water_sat,water_problem,irrig_eq_use,irrig_eq_type,irrig_eq_get,irrig_eq_get_r1,irrig_eq_get_r2,irrig_eq_get_r3,irrig_eq_get_r4,irrig_eq_get_r5,irrig_conv,irrig_boost,mech_eq_use,mech_eq_get,mech_eq_get_r1,mech_eq_get_r2,mech_eq_get_r3,mech_eq_get_r4,mech_eq_get_r5,mech_conv,mech_conv_r1,mech_conv_r2,mech_conv_r3,mech_conv_r4,mech_conv_r5,mech_conv_r6,mech_boost,road_problem,road_problem_r1,road_problem_r2,road_problem_r3,road_problem_r4,road_problem_r5,process_do,process_purpose,process_cost,process_place,process_subsidy,process_subsidy_amt,process_sat,process_un_sat,process_price_pre,process_price_post,process_price_sat,brand_exist,brand_how,brand_benefit,brand_benefit_r1,brand_benefit_r2,brand_benefit_r3,brand_benefit_r4,brand_benefit_r5,brand_std_will,brand_std_unwill,brand_boost,sales_channel,ecom_aware,ecom_sell,ecom_benefit,ecom_problem,input_buy,input_buy_r1,input_buy_r2,input_buy_r3,input_buy_r4,input_buy_r5,input_buy_r6,input_cost,input_cost_share,input_heavy,input_heavy_share,input_burden,input_channel,input_channel_why,input_conv,subsidy_get,subsidy_type,subsidy_per_mu,subsidy_total,subsidy_sat,subsidy_problem,subsidy_boost,subsidy_info_ch,subsidy_reduce_abandon,subsidy_no_reason,farm_reason,farm_reason_r1,farm_reason_r2,farm_reason_r3,farm_reason_r4,farm_reason_r5,farm_reason_r6,farm_reason_r7,own_abandon,own_abandon_reason,own_abandon_reason_r1,own_abandon_reason_r2,own_abandon_reason_r3,own_abandon_reason_r4,own_abandon_reason_r5,own_abandon_reason_r6,village_abandon,village_abandon_reason,village_abandon_reason_r1,village_abandon_reason_r2,village_abandon_reason_r3,village_abandon_reason_r4,village_abandon_reason_r5,village_abandon_reason_r6,village_abandon_reason_r7,village_abandon_reason_r8,continue_will,continue_will_why,prospect_view,prospect_why,village_motive_change,motive_change_why,abandon_right_will,abandon_right_why
1,1,4,1,199306,7,2,1,1,6,3,1847,16.3,16.3,0,0,0,24.5,45.8,31.6,33.2,28.2,48.5,8,30.7,41.0,4,-99,流转给合作社统一经营,种粮补贴较稳定,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"自家食用为主, 剩余出售","自家食用为主, 剩余出售",担心政策变化,24.3,1,,1,1,0,0,,1,0,0,0,0,0,,0,0,0,0,1,0,0,34.9,38.8,3,2,49.9,21.7,1,3,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,1,担心政策变化,4,1,1,1,,0,0,0,0,1,4,1,1,,0,1,1,0,0,,0,0,0,1,0,0,3,,1,1,1,0,0,1,2,21.2,4,2,6.4,1,6,17.5,13.8,4,3,-99,-99,,,,,,1,3,1,2,1,1,1,3,,0,0,1,1,0,1,17.0,29.0,4,39.0,2,6,4,5,3,-99,-99,-99,-99,-99,-99,-99,-99,3,,0,1,0,0,1,0,1,2,-99,,,,,,,1,,0,0,0,1,0,0,0,0,2,担心政策变化,3,担心政策变化,4,担心政策变化,3,种粮补贴较稳定
1,3,4,1,196308,1,-88,1,1,2,1,57379,10.9,22.1,2.4,13.6,0,22.1,35.4,31.2,18.0,34.4,16.7,7,15.3,30.8,,-99,"自家食用为主, 剩余出售","外出务工, 家中老人耕种",41.7,11.5,3,6,2,2,4,2,1,2,40.2,2,14.1,1,3,流转给合作社统一经营,37.6,7.4,48.3,,0,0,0,1,1,24.8,2,1,2,,0,0,1,0,0,0,0,0,1,,0,0,0,1,1,22.3,2,47.8,2,3,"外出务工, 家中老人耕种",24.9,3,担心政策变化,担心政策变化,"外出务工, 家中老人耕种",32.8,3,,1,1,0,1,,0,0,0,0,1,1,,1,0,1,0,1,0,0,-99,14.0,3,2,33.9,27.1,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,6,担心政策变化,1,1,2,3,,0,1,1,1,0,3,5,1,,0,0,0,1,0,,1,0,0,0,0,0,1,,0,0,0,1,0,1,1,31.4,4,2,-99,3,5,30.1,38.9,3,2,-99,-99,,,,,,2,1,4,3,1,2,6,2,,1,0,1,1,0,0,45.5,22.8,4,17.7,5,3,5,1,3,-99,-99,-99,-99,-99,-99,-99,-99,3,,0,1,1,0,1,0,0,2,-99,,,,,,,1,,0,0,0,0,0,0,1,0,2,"自家食用为主, 剩余出售",1,担心政策变化,5,"自家食用为主, 剩余出售",2,流转给合作社统一经营
2,1,4,1,197405,1,1,1,1,7,2,60,8.9,8.9,0,0,0,5.6,17.1,33.2,44.9,24.9,34.1,9,39.1,30.1,5,-99,担心政策变化,"自家食用为主, 剩余出售",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"自家食用为主, 剩余出售","自家食用为主, 剩余出售",担心政策变化,37.5,4,,1,1,0,0,,1,0,0,1,1,0,,0,0,1,0,0,0,0,-99,9.4,2,3,46.5,13.4,1,3,1,,0,0,1,0,0,1,,1,0,0,0,0,1,27.6,2,,0,1,0,0,2,4,2,-99,-99,-99,-99,-99,-99,-99,6,种粮补贴较稳定,3,3,1,4,,0,0,1,1,0,4,5,1,,1,0,0,1,0,,1,0,1,0,1,0,4,,0,0,0,1,1,1,2,10.0,2,2,-99,2,4,24.6,36.3,2,2,-99,-99,,,,,,1,2,1,7,2,2,1,3,,1,0,0,1,0,1,35.6,12.0,2,39.9,4,6,3,1,2,-99,-99,-99,-99,-99,-99,-99,-99,2,,0,1,1,0,1,0,0,2,-99,,,,,,,2,-99,,,,,,,,,3,"外出务工, 家中老人耕种",5,"外出务工, 家中老人耕种",3,"自家食用为主, 剩余出售",5,"自家食用为主, 剩余出售"
1,6,5,1,196209,4,1,1,3,1,3,,9.9,17.7,0,10.7,2.9,10.3,29.5,31.4,36.2,43.7,27.1,2,36.7,37.9,5,-99,担心政策变化,"自家食用为主, 剩余出售",3.6,44.0,2,4,1,1,6,1,3,2,13.5,6,19.5,2,1,"外出务工, 家中老人耕种",32.2,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,担心政策变化,种粮补贴较稳定,种粮补贴较稳定,17.3,4,,1,1,0,0,,1,0,1,0,0,1,,0,0,0,0,0,1,0,28.9,48.9,1,1,6.9,43.7,2,-99,1,,1,0,0,1,0,1,,1,0,0,0,0,0,5.5,2,,1,0,1,1,1,1,2,-99,-99,-99,-99,-99,-99,-99,4,"自家食用为主, 剩余出售",3,2,2,4,,0,0,0,1,1,2,6,1,,1,0,1,1,0,,1,0,0,0,1,1,2,,0,0,1,1,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,2,4,4,3,1,2,4,3,,0,0,0,1,1,0,20.3,37.1,5,35.4,4,5,2,1,1,6,22.5,14.8,2,2,2,4,3,-99,,0,0,0,0,0,1,0,2,-99,,,,,,,2,-99,,,,,,,,,2,"外出务工, 家中老人耕种",2,"自家食用为主, 剩余出售",5,"外出务工, 家中老人耕种",4,担心政策变化
1,2,6,1,195811,1,1,1,1,3,3,35663,5.7,0,5.7,0,0,44.5,19.9,4.0,40.4,38.9,45.7,7,27.8,46.6,5,-99,流转给合作社统一经营,担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,19.3,7.2,,1,1,0,0,1,23.9,2,1,2,,0,0,0,0,1,1,0,1,2,,1,0,1,1,2,31.9,2,23.4,1,3,"自家食用为主, 剩余出售",19.1,1,担心政策变化,"外出务工, 家中老人耕种","外出务工, 家中老人耕种",15.9,2,,0,1,0,0,,0,1,0,1,0,0,,0,0,0,1,1,0,1,18.0,27.8,1,1,28.5,43.1,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,1,担心政策变化,5,2,1,4,,0,0,1,0,1,2,1,1,,1,0,0,0,0,,1,0,0,0,0,0,1,,1,1,0,1,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,1,2,3,1,2,2,4,3,,0,0,0,1,0,0,1.3,14.1,4,21.9,4,2,3,5,1,7,47.9,4.0,5,4,1,6,3,-99,,1,1,0,0,0,0,1,2,-99,,,,,,,2,-99,,,,,,,,,3,"自家食用为主, 剩余出售",1,"自家食用为主, 剩余出售",3,种粮补贴较稳定,1,"外出务工, 家中老人耕种"
4,4,6,2,197411,5,1,1,2,3,3,32082,0.0,4.1,0,4.1,0,31.4,21.8,10.5,23.3,1.5,1.9,9,40.8,27.4,5,-99,"外出务工, 家中老人耕种",担心政策变化,46.5,49.6,1,7,2,1,2,2,3,1,27.9,1,22.7,2,4,担心政策变化,18.9,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,流转给合作社统一经营,流转给合作社统一经营,"外出务工, 家中老人耕种",36.3,1,,0,1,0,0,,0,0,1,0,0,1,,1,0,0,0,0,0,0,-99,40.8,1,4,48.3,33.8,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,1,45.6,1,5.6,2,3,4,-99,-99,5,1,2,1,,1,1,0,0,1,4,6,2,,0,1,0,0,0,,0,0,0,1,0,1,2,,1,0,1,1,0,2,1,6.3,4,2,-99,4,2,20.6,31.2,5,2,-99,-99,,,,,,2,1,3,1,2,1,4,1,,1,0,0,0,1,0,22.8,18.7,4,4.8,1,2,3,5,1,5,30.2,48.3,5,4,2,1,2,-99,,0,1,1,0,0,0,0,2,-99,,,,,,,1,,0,0,0,0,1,1,0,0,4,种粮补贴较稳定,4,担心政策变化,1,担心政策变化,4,流转给合作社统一经营
3,2,5,1,195102,1,2,1,1,3,3,36478,9.9,1.0,8.9,0,0,34.1,14.1,49.8,27.0,44.3,47.9,5,36.5,31.9,,-99,"外出务工, 家中老人耕种","外出务工, 家中老人耕种",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,17.6,33.8,,0,0,1,0,0,7.6,1,1,2,,0,0,1,1,0,0,1,0,2,,1,1,1,0,1,11.5,7,32.2,1,1,流转给合作社统一经营,1.1,2,流转给合作社统一经营,"自家食用为主, 剩余出售",担心政策变化,37.8,2,,1,1,0,1,,1,0,0,1,0,1,,1,0,1,0,1,0,0,-99,7.4,6,2,46.4,17.3,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,4,种粮补贴较稳定,5,1,1,2,,1,0,0,0,0,2,3,1,,1,0,0,0,0,,1,0,0,0,0,0,5,,0,0,1,0,1,1,1,36.6,1,2,-99,1,5,10.5,37.8,5,2,-99,-99,,,,,,1,4,1,4,2,2,5,5,,0,0,0,0,0,1,1.9,10.9,3,22.9,2,2,1,4,1,8,8.5,45.9,5,3,1,1,2,-99,,1,0,0,1,0,1,0,2,-99,,,,,,,2,-99,,,,,,,,,4,"外出务工, 家中老人耕种",5,种粮补贴较稳定,2,流转给合作社统一经营,5,流转给合作社统一经营
1,2,5,1,196108,4,2,1,1,4,1,6891,3.5,3.5,0,0,0,16.1,7.8,31.2,5.8,15.9,8.0,8,12.0,16.1,5,-99,担心政策变化,种粮补贴较稳定,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,担心政策变化,流转给合作社统一经营,"外出务工, 家中老人耕种",47.1,4,,1,0,0,0,,0,0,1,0,0,0,,0,0,1,0,0,1,0,-99,41.3,6,2,38.5,44.2,2,-99,1,,1,1,0,1,0,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,3,流转给合作社统一经营,1,3,2,1,,0,1,0,0,1,3,4,1,,0,1,0,1,0,,0,0,0,1,0,0,1,,0,1,0,0,0,2,2,40.9,2,2,11.9,5,2,36.3,46.2,1,2,-99,-99,,,,,,1,1,1,1,3,2,6,2,,0,0,0,0,1,0,17.6,15.0,5,30.5,5,1,2,4,1,8,18.4,24.3,1,2,1,6,1,-99,,0,0,0,0,1,1,1,2,-99,,,,,,,2,-99,,,,,,,,,1,担心政策变化,3,种粮补贴较稳定,4,担心政策变化,4,"外出务工, 家中老人耕种"
3,3,5,1,197112,4,1,1,1,3,3,61751,21.9,6.7,15.2,0,0,19.9,6.4,43.2,17.7,40.1,2.1,2,45.9,41.9,4,-99,种粮补贴较稳定,担心政策变化,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,33.5,48.9,,0,1,0,0,0,12.7,2,2,1,,0,0,0,0,0,0,1,0,1,,1,1,1,0,2,7.4,4,14.4,1,1,种粮补贴较稳定,2.9,1,流转给合作社统一经营,种粮补贴较稳定,种粮补贴较稳定,19.4,1,,1,1,1,0,,1,1,0,1,0,0,,0,0,1,0,1,1,0,-99,18.5,5,4,49.7,1.7,2,-99,1,,1,1,0,0,1,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,2,"自家食用为主, 剩余出售",2,4,1,2,,0,0,0,1,0,1,3,2,,1,0,0,0,1,,0,1,0,1,0,1,3,,1,0,1,1,0,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,1,2,2,1,1,2,1,1,,1,0,1,0,0,1,16.5,4.7,5,42.4,5,7,2,1,1,1,5.2,29.9,4,3,2,5,1,-99,,0,0,1,0,0,0,0,2,-99,,,,,,,1,,1,0,0,0,0,1,0,0,4,担心政策变化,2,"外出务工, 家中老人耕种",3,"自家食用为主, 剩余出售",2,种粮补贴较稳定
1,3,3,1,199310,6,1,3,1,6,3,,4.3,4.3,0,0,0,48.9,3.0,29.9,37.0,8.0,18.9,6,31.0,12.3,4,-99,担心政策变化,"自家食用为主, 剩余出售",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,种粮补贴较稳定,种粮补贴较稳定,"自家食用为主, 剩余出售",9.7,5,,0,1,1,1,,0,0,0,0,1,0,,0,0,1,0,1,0,0,33.5,14.0,3,2,40.0,27.1,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,4,"外出务工, 家中老人耕种",6,2,1,2,,0,0,0,1,0,3,1,2,,0,0,1,1,0,,1,0,0,0,1,1,1,,1,1,0,1,0,2,1,14.3,1,1,48.1,4,6,46.4,22.0,3,2,-99,-99,,,,,,2,4,3,5,1,2,1,5,,1,1,1,0,0,0,23.2,10.8,4,3.4,5,2,7,4,2,-99,-99,-99,-99,-99,-99,-99,-99,3,,1,0,0,0,1,0,0,2,-99,,,,,,,1,,0,0,1,0,0,0,0,0,4,"自家食用为主, 剩余出售",4,"外出务工, 家中老人耕种",2,担心政策变化,1,"外出务工, 家中老人耕种"
2,6,4,1,196711,2,1,1,1,1,2,,11.2,11.2,0,0,0,39.6,21.6,20.4,24.7,11.5,48.3,8,44.9,3.0,3,-99,"外出务工, 家中老人耕种","外出务工, 家中老人耕种",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,担心政策变化,种粮补贴较稳定,担心政策变化,34.2,2,,1,0,1,1,,0,0,1,1,0,1,,0,1,0,0,1,0,0,-99,12.2,1,3,37.2,3.1,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,5,"自家食用为主, 剩余出售",4,2,1,2,,0,0,1,1,1,2,1,1,,1,0,0,1,1,,0,0,1,1,0,0,3,,0,0,1,1,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,-99,-99,,,,,,2,2,2,4,3,2,2,6,,1,1,1,0,0,0,21.3,30.1,2,9.9,2,6,1,5,2,-99,-99,-99,-99,-99,-99,-99,-99,2,,1,0,0,1,1,0,0,1,,0,0,0,1,1,1,2,-99,,,,,,,,,3,"外出务工, 家中老人耕种",2,"自家食用为主, 剩余出售",2,流转给合作社统一经营,2,流转给合作社统一经营
1,1,6,1,196906,5,1,1,1,7,2,10265,22.1,15.5,6.6,0,0,20.8,45.8,20.7,9.5,31.9,48.6,9,19.3,2.8,5,-99,"自家食用为主, 剩余出售",种粮补贴较稳定,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,25.9,44.2,,0,0,0,0,1,7.1,2,1,2,,0,0,1,0,1,0,0,0,1,,1,0,0,0,1,8.2,1,2.2,1,4,种粮补贴较稳定,11.5,2,"自家食用为主, 剩余出售",种粮补贴较稳定,流转给合作社统一经营,14.1,3,,0,0,0,1,,0,1,0,1,0,1,,0,0,0,0,0,1,0,-99,22.3,6,4,3.9,24.4,2,-99,1,,0,0,0,1,0,1,,1,1,0,0,1,0,31.6,2,,1,0,0,1,2,1,2,-99,-99,-99,-99,-99,-99,-99,1,种粮补贴较稳定,6,4,1,1,,0,1,1,1,0,1,6,2,,1,0,0,1,1,,0,0,0,1,0,0,3,,0,0,1,0,1,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,4,,0,0,1,0,1,1,-99,-99,4,1,2,2,3,,1,0,1,0,1,0,21.5,22.9,4,33.8,2,6,7,1,1,8,17.2,33.7,4,2,3,5,3,-99,,0,0,0,1,0,0,1,2,-99,,,,,,,2,-99,,,,,,,,,5,流转给合作社统一经营,5,种粮补贴较稳定,1,流转给合作社统一经营,1,流转给合作社统一经营
3,4,6,1,196104,1,1,1,1,5,1,9743,5.5,3.4,0,0,2.1,42.2,45.3,34.8,8.4,21.4,2.6,5,45.0,39.6,4,-99,"自家食用为主, 剩余出售",流转给合作社统一经营,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,种粮补贴较稳定,担心政策变化,"自家食用为主, 剩余出售",49.0,3,,0,1,1,1,,1,0,0,0,0,0,,1,1,0,0,0,0,0,40.1,6.6,2,3,10.7,5.6,2,-99,1,,0,1,0,0,0,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,1,22.1,2,10.0,4,2,2,-99,-99,6,4,2,3,,1,0,1,0,0,4,6,1,,0,1,1,0,0,,1,1,1,0,0,0,5,,0,0,0,1,0,1,1,47.3,2,1,-99,1,3,22.3,5.5,2,2,-99,-99,,,,,,2,1,3,5,2,1,1,6,,0,0,0,1,1,1,16.8,48.3,5,25.5,3,6,5,5,1,6,45.9,19.9,3,3,3,1,3,-99,,1,0,0,0,0,1,1,2,-99,,,,,,,1,,0,0,1,1,0,0,0,0,1,"外出务工, 家中老人耕种",4,担心政策变化,3,担心政策变化,5,"外出务工, 家中老人耕种"
1,2,6,2,199009,5,3,1,1,5,3,4434,0.4,6.9,0,6.5,0,37.9,43.8,26.8,18.3,12.9,27.9,1,21.6,47.6,5,-99,种粮补贴较稳定,"外出务工, 家中老人耕种",40.5,22.6,1,6,2,3,6,1,1,2,50.0,7,20.9,1,3,"自家食用为主, 剩余出售",17.6,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"外出务工, 家中老人耕种",流转给合作社统一经营,流转给合作社统一经营,34.6,1,,0,0,1,1,,0,0,1,1,0,1,,1,0,0,1,0,0,0,-99,21.9,3,4,28.2,11.1,1,2,2,-99,,,,,,1,,0,0,0,0,1,0,4.5,2,,0,1,1,1,1,2,2,-99,-99,-99,-99,-99,-99,-99,2,"外出务工, 家中老人耕种",2,3,2,1,,1,0,0,0,0,2,6,1,,1,0,0,0,1,,0,1,1,0,0,0,2,,0,0,1,1,0,2,2,22.8,1,1,2.3,2,2,21.0,5.5,5,2,-99,-99,,,,,,2,2,5,1,2,2,3,1,,0,0,0,0,0,1,23.8,48.6,4,3.3,3,7,3,2,2,-99,-99,-99,-99,-99,-99,-99,-99,3,,0,1,0,0,0,1,0,2,-99,,,,,,,1,,1,0,0,0,1,0,0,0,2,"外出务工, 家中老人耕种",1,担心政策变化,3,流转给合作社统一经营,3,种粮补贴较稳定
3,3,6,2,195912,3,1,1,1,7,2,,13.1,13.1,0,0,0,25.7,20.6,28.5,30.0,47.4,36.8,7,34.9,23.1,4,-99,"自家食用为主, 剩余出售",流转给合作社统一经营,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"外出务工, 家中老人耕种",种粮补贴较稳定,种粮补贴较稳定,34.2,1,,1,0,0,0,,0,0,0,1,0,1,,0,0,0,1,1,0,0,-99,4.7,2,2,14.4,27.6,2,-99,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,1,4,9.7,1,46.0,5,3,2,-99,-99,6,1,2,4,,1,1,0,1,0,3,4,2,,0,1,0,1,1,,1,0,1,0,0,0,2,,0,1,0,0,0,1,3,17.7,3,1,-99,2,1,8.7,37.0,1,1,4,,0,1,0,0,1,1,-99,-99,4,1,2,4,4,,0,1,0,1,0,0,22.8,19.1,4,4.4,5,4,1,1,1,8,4.1,2.8,3,2,1,6,2,-99,,0,0,1,1,0,0,1,2,-99,,,,,,,2,-99,,,,,,,,,3,种粮补贴较稳定,4,种粮补贴较稳定,4,种粮补贴较稳定,2,流转给合作社统一经营
1,3,3,1,199409,7,1,2,1,1,2,6556,3.7,3.7,0,0,0,24.9,24.2,17.7,47.7,42.9,44.8,2,7.9,43.3,4,-99,流转给合作社统一经营,种粮补贴较稳定,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"自家食用为主, 剩余出售",种粮补贴较稳定,流转给合作社统一经营,38.8,2,,0,1,0,0,,1,0,0,0,0,0,,0,1,0,0,0,0,1,-99,35.3,2,1,14.6,23.0,1,6,2,-99,,,,,,2,-99,,,,,,,-99,-99,-99,,,,,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,1,"自家食用为主, 剩余出售",4,2,2,3,,1,0,1,0,1,4,2,2,,0,1,0,1,0,,0,1,0,0,0,0,5,,1,0,0,0,0,2,3,9.8,3,1,1.9,2,3,21.2,15.0,4,3,-99,-99,,,,,,2,3,2,1,1,2,1,4,,0,1,0,1,0,0,28.3,41.1,3,24.0,3,6,6,4,1,3,35.9,25.0,3,4,1,1,3,-99,,1,0,0,1,0,0,1,1,,1,1,0,1,0,0,1,,1,0,0,0,0,0,0,0,1,担心政策变化,4,担心政策变化,5,担心政策变化,5,担心政策变化
1,2,6,2,195109,1,1,1,1,5,1,4150,0.9,7.5,0,6.6,0,41.7,40.3,1.9,48.3,8.9,16.4,5,26.5,19.1,5,-99,担心政策变化,"外出务工, 家中老人耕种",1.7,30.2,3,1,2,1,7,1,4,1,11.7,2,28.7,1,2,种粮补贴较稳定,18.6,-99,-99,-99,,,,,,-99,-99,-99,-99,-99,,,,,,,,,-99,-99,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,"自家食用为主, 剩余出售","自家食用为主, 剩余出售",种粮补贴较稳定,17.5,2,,1,0,1,1,,0,1,0,1,0,0,,0,0,1,0,0,0,0,40.4,10.5,1,1,29.6,1.3,1,5,2,-99,,,,,,1,,0,0,1,0,0,0,30.9,1,,1,1,0,1,1,4,1,3,31.2,3,40.5,3,1,4,-99,-99,3,2,2,4,,0,0,0,0,1,1,2,1,,0,1,0,1,1,,0,0,0,0,0,1,5,,0,0,0,0,1,2,2,18.8,1,1,-99,2,3,23.9,15.3,2,2,-99,-99,,,,,,2,1,3,7,3,2,1,6,,0,0,0,0,0,1,46.6,35.2,3,19.7,2,7,3,1,3,-99,-99,-99,-99,-99,-99,-99,-99,2,,1,1,1,0,0,0,0,2,-99,,,,,,,2,-99,,,,,,,,,3,"外出务工, 家中老人耕种",3,流转给合作社统一经营,5,种粮补贴较稳定,4,"外出务工, 家中老人耕种"
